ticker,Date,close,action
SH600025,2020-07-02,3.88,Buy to Open
SH600066,2020-07-02,12.31,Buy to Open
SH600109,2020-07-02,12.68,Short Sell
SH600115,2020-07-02,4.42,Short Sell
SH600221,2020-07-02,1.59,Short Sell
SH600233,2020-07-02,15.07,Short Sell
SH600276,2020-07-02,91.2,Buy to Open
SH600482,2020-07-02,16.01,Short Sell
SH600606,2020-07-02,7.48,Buy to Open
SH600760,2020-07-02,33.59,Short Sell
SH600867,2020-07-02,16.72,Buy to Open
SH600893,2020-07-02,24.2,Short Sell
SH600977,2020-07-02,13.74,Buy to Open
SH601108,2020-07-02,11.5,Short Sell
SH601111,2020-07-02,6.91,Short Sell
SH601162,2020-07-02,6.74,Short Sell
SH601216,2020-07-02,2.69,Buy to Open
SH601668,2020-07-02,4.98,Buy to Open
SH601788,2020-07-02,19.12,Short Sell
SH601877,2020-07-02,26.36,Buy to Open
SH601919,2020-07-02,3.65,Short Sell
SH603259,2020-07-02,93.0,Buy to Open
SH603799,2020-07-02,39.73,Short Sell
SH603986,2020-07-02,238.35,Buy to Open
SZ000001,2020-07-02,13.43,Short Sell
SZ000063,2020-07-02,40.5,Short Sell
SZ000100,2020-07-02,6.32,Buy to Open
SZ000538,2020-07-02,94.1,Buy to Open
SZ000596,2020-07-02,171.3,Buy to Open
SZ000627,2020-07-02,5.6,Buy to Open
SZ000661,2020-07-02,410.09,Buy to Open
SZ000723,2020-07-02,6.42,Short Sell
SZ000725,2020-07-02,4.87,Short Sell
SZ000938,2020-07-02,45.15,Buy to Open
SZ000963,2020-07-02,25.68,Short Sell
SZ002007,2020-07-02,47.5,Buy to Open
SZ002050,2020-07-02,21.6,Buy to Open
SZ002120,2020-07-02,25.33,Short Sell
SZ002153,2020-07-02,37.4,Buy to Open
SZ002352,2020-07-02,55.52,Buy to Open
SZ002410,2020-07-02,67.1,Short Sell
SZ002456,2020-07-02,18.79,Short Sell
SZ002468,2020-07-02,16.86,Short Sell
SZ002475,2020-07-02,51.29,Short Sell
SZ002714,2020-07-02,81.5,Buy to Open
SZ002916,2020-07-02,166.61,Short Sell
SZ300003,2020-07-02,36.88,Buy to Open
SZ300059,2020-07-02,21.9,Short Sell
SZ300142,2020-07-02,52.89,Buy to Open
SZ300144,2020-07-02,17.7,Buy to Open
SZ300347,2020-07-02,96.1,Buy to Open
