ticker,Date,close,action
SH600004,2020-07-03,15.62,Short Sell
SH600025,2020-07-03,3.86,Buy to Open
SH600109,2020-07-03,13.95,Short Sell
SH600176,2020-07-03,9.7,Buy to Open
SH600233,2020-07-03,15.19,Short Sell
SH600299,2020-07-03,12.43,Short Sell
SH600346,2020-07-03,14.88,Buy to Open
SH600352,2020-07-03,13.47,Buy to Open
SH600489,2020-07-03,9.39,Buy to Open
SH600516,2020-07-03,6.81,Buy to Open
SH600570,2020-07-03,105.95,Buy to Open
SH600606,2020-07-03,7.96,Buy to Open
SH600760,2020-07-03,35.22,Short Sell
SH600837,2020-07-03,14.81,Short Sell
SH600893,2020-07-03,24.4,Short Sell
SH600977,2020-07-03,13.73,Buy to Open
SH601012,2020-07-03,41.7,Buy to Open
SH601066,2020-07-03,47.7,Short Sell
SH601108,2020-07-03,12.23,Short Sell
SH601155,2020-07-03,34.43,Buy to Open
SH601162,2020-07-03,7.15,Short Sell
SH601216,2020-07-03,2.77,Buy to Open
SH601236,2020-07-03,22.57,Short Sell
SH601360,2020-07-03,19.38,Buy to Open
SH601555,2020-07-03,9.7,Short Sell
SH601600,2020-07-03,2.99,Buy to Open
SH601628,2020-07-03,33.04,Buy to Open
SH601698,2020-07-03,17.99,Short Sell
SH601788,2020-07-03,21.03,Short Sell
SH601881,2020-07-03,13.75,Short Sell
SH603156,2020-07-03,22.48,Buy to Open
SH603259,2020-07-03,95.87,Buy to Open
SZ000001,2020-07-03,14.25,Short Sell
SZ000063,2020-07-03,42.41,Short Sell
SZ000166,2020-07-03,5.94,Short Sell
SZ000661,2020-07-03,409.95,Buy to Open
SZ000671,2020-07-03,7.46,Buy to Open
SZ000725,2020-07-03,4.8,Short Sell
SZ000728,2020-07-03,9.75,Short Sell
SZ002007,2020-07-03,47.38,Buy to Open
SZ002120,2020-07-03,25.21,Short Sell
SZ002153,2020-07-03,37.16,Buy to Open
SZ002311,2020-07-03,47.36,Buy to Open
SZ002468,2020-07-03,16.85,Short Sell
SZ002493,2020-07-03,13.22,Buy to Open
SZ002624,2020-07-03,54.9,Buy to Open
SZ002916,2020-07-03,169.02,Short Sell
SZ300059,2020-07-03,22.8,Short Sell
SZ300124,2020-07-03,37.77,Buy to Open
SZ300136,2020-07-03,53.19,Buy to Open
SZ300413,2020-07-03,61.6,Buy to Open
SZ300433,2020-07-03,27.91,Short Sell
SZ300498,2020-07-03,22.72,Short Sell
SH600004,2020-07-09,16.16,Buy to Cover
SH600009,2020-07-09,75.82,Buy to Open
SH600025,2020-07-09,4.06,Sell to Close
SH600028,2020-07-09,4.23,Short Sell
SH600031,2020-07-09,20.96,Buy to Open
SH600050,2020-07-09,5.36,Short Sell
SH600104,2020-07-09,19.32,Short Sell
SH600109,2020-07-09,16.48,Buy to Cover
SH600111,2020-07-09,12.31,Buy to Open
SH600170,2020-07-09,3.36,Short Sell
SH600176,2020-07-09,10.2,Sell to Close
SH600183,2020-07-09,34.28,Short Sell
SH600221,2020-07-09,1.7,Buy to Open
SH600233,2020-07-09,15.78,Buy to Cover
SH600299,2020-07-09,13.29,Buy to Cover
SH600346,2020-07-09,15.99,Sell to Close
SH600352,2020-07-09,14.52,Sell to Close
SH600406,2020-07-09,22.19,Short Sell
SH600522,2020-07-09,13.74,Buy to Open
SH600570,2020-07-09,119.48,Sell to Close
SH600606,2020-07-09,9.45,Sell to Close
SH600637,2020-07-09,10.65,Buy to Open
SH600660,2020-07-09,22.4,Buy to Open
SH600760,2020-07-09,51.56,Buy to Cover
SH600795,2020-07-09,2.01,Short Sell
SH600837,2020-07-09,16.3,Buy to Cover
SH600893,2020-07-09,32.92,Buy to Cover
SH600900,2020-07-09,19.03,Buy to Open
SH600977,2020-07-09,15.0,Sell to Close
SH600989,2020-07-09,9.33,Buy to Open
SH601012,2020-07-09,46.35,Sell to Close
SH601021,2020-07-09,39.17,Buy to Open
SH601066,2020-07-09,53.3,Buy to Cover
SH601108,2020-07-09,14.43,Buy to Cover
SH601117,2020-07-09,6.27,Short Sell
SH601155,2020-07-09,38.09,Sell to Close
SH601162,2020-07-09,7.88,Buy to Cover
SH601186,2020-07-09,9.68,Short Sell
SH601216,2020-07-09,3.11,Sell to Close
SH601236,2020-07-09,23.73,Buy to Cover
SH601238,2020-07-09,9.75,Short Sell
SH601318,2020-07-09,85.92,Buy to Open
SH601336,2020-07-09,58.67,Buy to Open
SH601360,2020-07-09,21.25,Sell to Close
SH601390,2020-07-09,5.97,Short Sell
SH601555,2020-07-09,11.31,Buy to Cover
SH601600,2020-07-09,3.57,Sell to Close
SH601628,2020-07-09,44.0,Sell to Close
SH601668,2020-07-09,5.48,Short Sell
SH601698,2020-07-09,23.18,Buy to Cover
SH601766,2020-07-09,6.35,Short Sell
SH601788,2020-07-09,30.03,Buy to Cover
SH601881,2020-07-09,16.1,Buy to Cover
SH601985,2020-07-09,4.65,Short Sell
SH601992,2020-07-09,3.38,Short Sell
SH603019,2020-07-09,51.04,Buy to Open
SH603259,2020-07-09,101.31,Sell to Close
SH603833,2020-07-09,121.77,Buy to Open
SZ000001,2020-07-09,15.53,Buy to Cover
SZ000063,2020-07-09,47.12,Buy to Cover
SZ000166,2020-07-09,6.52,Buy to Cover
SZ000568,2020-07-09,119.5,Buy to Open
SZ000656,2020-07-09,9.62,Buy to Open
SZ000661,2020-07-09,454.58,Sell to Close
SZ000671,2020-07-09,7.65,Sell to Close
SZ000725,2020-07-09,5.32,Buy to Cover
SZ000728,2020-07-09,11.19,Buy to Cover
SZ002007,2020-07-09,48.11,Sell to Close
SZ002027,2020-07-09,6.09,Buy to Open
SZ002153,2020-07-09,41.19,Sell to Close
SZ002179,2020-07-09,43.86,Short Sell
SZ002230,2020-07-09,42.4,Short Sell
SZ002252,2020-07-09,9.9,Buy to Open
SZ002304,2020-07-09,134.01,Buy to Open
SZ002311,2020-07-09,52.5,Sell to Close
SZ002468,2020-07-09,17.78,Buy to Cover
SZ002493,2020-07-09,15.55,Sell to Close
SZ002555,2020-07-09,49.39,Short Sell
SZ002602,2020-07-09,17.16,Short Sell
SZ002624,2020-07-09,60.09,Sell to Close
SZ002624,2020-07-09,60.09,Short Sell
SZ002714,2020-07-09,90.75,Buy to Open
SZ002739,2020-07-09,18.87,Buy to Open
SZ002773,2020-07-09,49.67,Short Sell
SZ002916,2020-07-09,194.1,Buy to Cover
SZ300015,2020-07-09,46.35,Short Sell
SZ300122,2020-07-09,104.28,Short Sell
SZ300136,2020-07-09,56.7,Sell to Close
SZ300142,2020-07-09,54.49,Buy to Open
SZ300144,2020-07-09,18.87,Buy to Open
SZ300408,2020-07-09,28.88,Short Sell
SZ300413,2020-07-09,66.92,Sell to Close
SZ300498,2020-07-09,24.65,Buy to Cover
SH600000,2020-07-15,11.18,Buy to Open
SH600009,2020-07-15,72.8,Sell to Close
SH600028,2020-07-15,4.05,Buy to Cover
SH600031,2020-07-15,21.47,Sell to Close
SH600111,2020-07-15,12.13,Sell to Close
SH600170,2020-07-15,3.33,Buy to Cover
SH600176,2020-07-15,10.33,Short Sell
SH600183,2020-07-15,31.0,Buy to Cover
SH600188,2020-07-15,9.91,Short Sell
SH600233,2020-07-15,15.41,Buy to Open
SH600340,2020-07-15,18.85,Buy to Open
SH600346,2020-07-15,15.61,Buy to Open
SH600406,2020-07-15,22.0,Buy to Cover
SH600438,2020-07-15,21.07,Buy to Open
SH600516,2020-07-15,7.18,Sell to Close
SH600522,2020-07-15,12.78,Sell to Close
SH600588,2020-07-15,49.0,Buy to Open
SH600637,2020-07-15,10.6,Sell to Close
SH600660,2020-07-15,23.47,Sell to Close
SH600741,2020-07-15,23.47,Short Sell
SH600795,2020-07-15,1.97,Buy to Cover
SH600848,2020-07-15,23.8,Buy to Open
SH600867,2020-07-15,17.65,Buy to Open
SH600900,2020-07-15,19.96,Sell to Close
SH600926,2020-07-15,9.69,Buy to Open
SH600989,2020-07-15,9.39,Sell to Close
SH601018,2020-07-15,4.05,Buy to Open
SH601117,2020-07-15,5.86,Buy to Cover
SH601155,2020-07-15,33.39,Buy to Open
SH601186,2020-07-15,9.14,Buy to Cover
SH601225,2020-07-15,7.79,Short Sell
SH601236,2020-07-15,24.8,Short Sell
SH601336,2020-07-15,55.93,Sell to Close
SH601390,2020-07-15,5.61,Buy to Cover
SH601577,2020-07-15,8.55,Buy to Open
SH601601,2020-07-15,31.15,Buy to Open
SH601607,2020-07-15,20.41,Short Sell
SH601668,2020-07-15,5.17,Buy to Cover
SH601766,2020-07-15,6.09,Buy to Cover
SH601816,2020-07-15,6.68,Short Sell
SH601838,2020-07-15,8.41,Buy to Open
SH601992,2020-07-15,3.29,Buy to Cover
SH601997,2020-07-15,7.83,Buy to Open
SH603019,2020-07-15,47.13,Sell to Close
SH603156,2020-07-15,25.52,Sell to Close
SH603156,2020-07-15,25.52,Short Sell
SH603260,2020-07-15,30.18,Buy to Open
SH603501,2020-07-15,230.58,Short Sell
SH603833,2020-07-15,126.5,Sell to Close
SH603986,2020-07-15,270.0,Short Sell
SH603993,2020-07-15,4.41,Short Sell
SZ000338,2020-07-15,16.23,Short Sell
SZ000425,2020-07-15,6.88,Short Sell
SZ000538,2020-07-15,111.06,Short Sell
SZ000568,2020-07-15,127.88,Sell to Close
SZ000656,2020-07-15,9.29,Sell to Close
SZ000661,2020-07-15,500.55,Short Sell
SZ000786,2020-07-15,28.05,Short Sell
SZ000876,2020-07-15,32.96,Short Sell
SZ000938,2020-07-15,47.1,Buy to Open
SZ000977,2020-07-15,42.05,Buy to Open
SZ002120,2020-07-15,25.25,Buy to Cover
SZ002142,2020-07-15,28.94,Buy to Open
SZ002157,2020-07-15,19.87,Short Sell
SZ002179,2020-07-15,41.8,Buy to Cover
SZ002230,2020-07-15,38.8,Buy to Cover
SZ002252,2020-07-15,10.07,Sell to Close
SZ002304,2020-07-15,143.4,Sell to Close
SZ002456,2020-07-15,21.0,Short Sell
SZ002468,2020-07-15,17.02,Buy to Open
SZ002555,2020-07-15,46.36,Buy to Cover
SZ002558,2020-07-15,21.71,Short Sell
SZ002594,2020-07-15,94.5,Short Sell
SZ002601,2020-07-15,23.12,Short Sell
SZ002602,2020-07-15,13.18,Buy to Cover
SZ002602,2020-07-15,13.18,Buy to Open
SZ002624,2020-07-15,60.35,Buy to Cover
SZ002714,2020-07-15,96.43,Sell to Close
SZ002739,2020-07-15,19.86,Sell to Close
SZ002773,2020-07-15,50.77,Buy to Cover
SZ002945,2020-07-15,16.96,Short Sell
SZ003816,2020-07-15,3.15,Short Sell
SZ300015,2020-07-15,47.71,Buy to Cover
SZ300015,2020-07-15,47.71,Buy to Open
SZ300033,2020-07-15,166.93,Buy to Open
SZ300122,2020-07-15,126.83,Buy to Cover
SZ300124,2020-07-15,50.0,Sell to Close
SZ300136,2020-07-15,53.76,Buy to Open
SZ300142,2020-07-15,63.3,Sell to Close
SZ300144,2020-07-15,20.3,Sell to Close
SZ300408,2020-07-15,28.6,Buy to Cover
SZ300433,2020-07-15,31.86,Buy to Cover
SH600000,2020-07-21,11.54,Sell to Close
SH600025,2020-07-21,3.96,Buy to Open
SH600038,2020-07-21,50.51,Short Sell
SH600050,2020-07-21,5.26,Buy to Cover
SH600066,2020-07-21,13.64,Buy to Open
SH600104,2020-07-21,18.93,Buy to Cover
SH600188,2020-07-21,9.45,Buy to Cover
SH600219,2020-07-21,2.53,Short Sell
SH600233,2020-07-21,15.79,Sell to Close
SH600340,2020-07-21,18.74,Sell to Close
SH600346,2020-07-21,16.79,Sell to Close
SH600372,2020-07-21,17.4,Short Sell
SH600383,2020-07-21,14.97,Short Sell
SH600438,2020-07-21,23.09,Sell to Close
SH600438,2020-07-21,23.09,Short Sell
SH600489,2020-07-21,10.44,Sell to Close
SH600519,2020-07-21,1668.0,Buy to Open
SH600570,2020-07-21,107.35,Buy to Open
SH600583,2020-07-21,4.84,Buy to Open
SH600588,2020-07-21,45.89,Sell to Close
SH600637,2020-07-21,10.39,Buy to Open
SH600655,2020-07-21,10.86,Short Sell
SH600741,2020-07-21,22.42,Buy to Cover
SH600760,2020-07-21,60.84,Short Sell
SH600848,2020-07-21,23.86,Sell to Close
SH600867,2020-07-21,14.26,Sell to Close
SH600886,2020-07-21,8.82,Buy to Open
SH600887,2020-07-21,34.06,Buy to Open
SH600926,2020-07-21,9.97,Sell to Close
SH600958,2020-07-21,11.95,Buy to Open
SH600999,2020-07-21,22.31,Short Sell
SH601018,2020-07-21,4.07,Sell to Close
SH601021,2020-07-21,40.97,Sell to Close
SH601066,2020-07-21,47.92,Buy to Open
SH601155,2020-07-21,33.94,Sell to Close
SH601198,2020-07-21,13.51,Buy to Open
SH601225,2020-07-21,8.0,Buy to Cover
SH601236,2020-07-21,22.71,Buy to Cover
SH601238,2020-07-21,9.57,Buy to Cover
SH601288,2020-07-21,3.3,Short Sell
SH601298,2020-07-21,6.5,Short Sell
SH601319,2020-07-21,7.51,Short Sell
SH601377,2020-07-21,8.5,Short Sell
SH601577,2020-07-21,9.28,Sell to Close
SH601601,2020-07-21,31.29,Sell to Close
SH601607,2020-07-21,19.57,Buy to Cover
SH601688,2020-07-21,21.75,Buy to Open
SH601816,2020-07-21,6.3,Buy to Cover
SH601838,2020-07-21,8.64,Sell to Close
SH601899,2020-07-21,5.68,Short Sell
SH601985,2020-07-21,4.44,Buy to Cover
SH601992,2020-07-21,3.31,Buy to Open
SH601997,2020-07-21,7.97,Sell to Close
SH603156,2020-07-21,24.48,Buy to Cover
SH603259,2020-07-21,109.51,Buy to Open
SH603260,2020-07-21,31.46,Sell to Close
SH603501,2020-07-21,215.69,Buy to Cover
SH603799,2020-07-21,42.1,Short Sell
SH603833,2020-07-21,92.75,Short Sell
SH603986,2020-07-21,241.3,Buy to Cover
SH603993,2020-07-21,4.46,Buy to Cover
SZ000066,2020-07-21,15.95,Short Sell
SZ000100,2020-07-21,6.96,Short Sell
SZ000157,2020-07-21,8.92,Short Sell
SZ000338,2020-07-21,17.25,Buy to Cover
SZ000425,2020-07-21,7.05,Buy to Cover
SZ000538,2020-07-21,109.88,Buy to Cover
SZ000538,2020-07-21,109.88,Buy to Open
SZ000568,2020-07-21,115.03,Buy to Open
SZ000661,2020-07-21,479.26,Buy to Cover
SZ000671,2020-07-21,7.27,Short Sell
SZ000768,2020-07-21,22.75,Short Sell
SZ000786,2020-07-21,31.66,Buy to Cover
SZ000858,2020-07-21,205.58,Buy to Open
SZ000876,2020-07-21,31.99,Buy to Cover
SZ000895,2020-07-21,55.81,Short Sell
SZ000938,2020-07-21,44.74,Sell to Close
SZ000977,2020-07-21,39.67,Sell to Close
SZ002008,2020-07-21,39.14,Short Sell
SZ002027,2020-07-21,6.07,Sell to Close
SZ002050,2020-07-21,23.2,Buy to Open
SZ002142,2020-07-21,31.26,Sell to Close
SZ002157,2020-07-21,19.75,Buy to Cover
SZ002236,2020-07-21,20.52,Short Sell
SZ002304,2020-07-21,133.46,Buy to Open
SZ002311,2020-07-21,56.68,Buy to Open
SZ002352,2020-07-21,67.62,Buy to Open
SZ002456,2020-07-21,19.12,Buy to Cover
SZ002493,2020-07-21,16.62,Short Sell
SZ002508,2020-07-21,38.2,Buy to Open
SZ002558,2020-07-21,22.26,Buy to Cover
SZ002594,2020-07-21,88.09,Buy to Cover
SZ002602,2020-07-21,12.38,Sell to Close
SZ002841,2020-07-21,105.99,Buy to Open
SZ002945,2020-07-21,16.07,Buy to Cover
SZ003816,2020-07-21,3.11,Buy to Cover
SZ300003,2020-07-21,44.1,Buy to Open
SZ300014,2020-07-21,53.42,Short Sell
SZ300015,2020-07-21,45.3,Sell to Close
SZ300033,2020-07-21,149.95,Sell to Close
SZ300059,2020-07-21,25.86,Buy to Cover
SZ300124,2020-07-21,52.33,Short Sell
SZ300136,2020-07-21,53.5,Sell to Close
SZ300347,2020-07-21,111.25,Buy to Open
SZ300433,2020-07-21,30.9,Short Sell
SZ300601,2020-07-21,204.56,Buy to Open
SH600025,2020-07-27,3.77,Sell to Close
SH600066,2020-07-27,13.31,Sell to Close
SH600176,2020-07-27,12.02,Buy to Cover
SH600196,2020-07-27,52.93,Short Sell
SH600219,2020-07-27,2.34,Buy to Cover
SH600221,2020-07-27,1.56,Sell to Close
SH600276,2020-07-27,95.39,Buy to Open
SH600297,2020-07-27,4.24,Short Sell
SH600346,2020-07-27,15.92,Buy to Open
SH600372,2020-07-27,17.3,Buy to Cover
SH600383,2020-07-27,13.62,Buy to Cover
SH600482,2020-07-27,19.76,Short Sell
SH600487,2020-07-27,16.26,Short Sell
SH600519,2020-07-27,1622.55,Sell to Close
SH600547,2020-07-27,43.98,Short Sell
SH600583,2020-07-27,4.77,Sell to Close
SH600637,2020-07-27,9.9,Sell to Close
SH600655,2020-07-27,10.31,Buy to Cover
SH600745,2020-07-27,133.72,Buy to Open
SH600867,2020-07-27,13.02,Buy to Open
SH600886,2020-07-27,8.48,Sell to Close
SH600887,2020-07-27,33.9,Sell to Close
SH600893,2020-07-27,35.31,Short Sell
SH600958,2020-07-27,11.37,Sell to Close
SH600999,2020-07-27,20.65,Buy to Cover
SH601012,2020-07-27,53.8,Short Sell
SH601198,2020-07-27,12.88,Sell to Close
SH601212,2020-07-27,3.49,Short Sell
SH601216,2020-07-27,5.1,Short Sell
SH601225,2020-07-27,8.04,Short Sell
SH601318,2020-07-27,76.43,Sell to Close
SH601319,2020-07-27,7.06,Buy to Cover
SH601377,2020-07-27,7.87,Buy to Cover
SH601398,2020-07-27,4.97,Short Sell
SH601618,2020-07-27,2.76,Buy to Open
SH601633,2020-07-27,14.1,Short Sell
SH601878,2020-07-27,16.0,Short Sell
SH601888,2020-07-27,199.69,Short Sell
SH601899,2020-07-27,6.02,Buy to Cover
SH601919,2020-07-27,4.07,Buy to Open
SH601988,2020-07-27,3.33,Short Sell
SH601989,2020-07-27,4.9,Short Sell
SH601992,2020-07-27,3.15,Sell to Close
SH603259,2020-07-27,106.78,Sell to Close
SH603369,2020-07-27,41.95,Buy to Open
SH603501,2020-07-27,197.0,Buy to Open
SH603799,2020-07-27,41.78,Buy to Cover
SH603833,2020-07-27,85.9,Buy to Cover
SH603899,2020-07-27,60.9,Buy to Open
SZ000066,2020-07-27,17.31,Buy to Cover
SZ000069,2020-07-27,7.05,Buy to Open
SZ000100,2020-07-27,6.04,Buy to Cover
SZ000157,2020-07-27,8.22,Buy to Cover
SZ000538,2020-07-27,106.35,Sell to Close
SZ000568,2020-07-27,115.05,Sell to Close
SZ000661,2020-07-27,454.28,Buy to Open
SZ000671,2020-07-27,6.85,Buy to Cover
SZ000708,2020-07-27,19.15,Short Sell
SZ000783,2020-07-27,8.56,Short Sell
SZ000858,2020-07-27,204.1,Sell to Close
SZ000895,2020-07-27,52.1,Buy to Cover
SZ000963,2020-07-27,26.46,Buy to Open
SZ002008,2020-07-27,37.37,Buy to Cover
SZ002024,2020-07-27,10.25,Buy to Open
SZ002027,2020-07-27,5.95,Short Sell
SZ002044,2020-07-27,15.26,Buy to Open
SZ002050,2020-07-27,21.35,Sell to Close
SZ002129,2020-07-27,23.39,Buy to Open
SZ002236,2020-07-27,20.72,Buy to Cover
SZ002241,2020-07-27,33.99,Short Sell
SZ002466,2020-07-27,24.89,Buy to Open
SZ002468,2020-07-27,16.09,Sell to Close
SZ002493,2020-07-27,16.26,Buy to Cover
SZ002508,2020-07-27,35.69,Sell to Close
SZ002555,2020-07-27,43.5,Buy to Open
SZ002601,2020-07-27,22.75,Buy to Cover
SZ002714,2020-07-27,87.16,Buy to Open
SZ002841,2020-07-27,102.5,Sell to Close
SZ300015,2020-07-27,46.0,Buy to Open
SZ300059,2020-07-27,24.84,Short Sell
SZ300122,2020-07-27,162.05,Short Sell
SZ300124,2020-07-27,48.3,Buy to Cover
SZ300124,2020-07-27,48.3,Buy to Open
SZ300408,2020-07-27,26.89,Buy to Open
SZ300433,2020-07-27,29.03,Buy to Cover
SZ300601,2020-07-27,207.89,Sell to Close
SH600038,2020-07-31,51.46,Buy to Cover
SH600066,2020-07-31,13.62,Short Sell
SH600089,2020-07-31,8.73,Short Sell
SH600176,2020-07-31,13.84,Short Sell
SH600297,2020-07-31,3.9,Buy to Cover
SH600297,2020-07-31,3.9,Buy to Open
SH600309,2020-07-31,67.59,Short Sell
SH600346,2020-07-31,16.27,Sell to Close
SH600482,2020-07-31,19.48,Buy to Cover
SH600487,2020-07-31,16.53,Buy to Cover
SH600547,2020-07-31,43.01,Buy to Cover
SH600588,2020-07-31,47.02,Buy to Open
SH600606,2020-07-31,8.17,Short Sell
SH600745,2020-07-31,152.05,Sell to Close
SH600867,2020-07-31,13.71,Sell to Close
SH600886,2020-07-31,8.62,Buy to Open
SH600900,2020-07-31,18.37,Buy to Open
SH600999,2020-07-31,21.53,Short Sell
SH601066,2020-07-31,48.63,Sell to Close
SH601066,2020-07-31,48.63,Short Sell
SH601108,2020-07-31,16.74,Short Sell
SH601212,2020-07-31,3.49,Buy to Cover
SH601216,2020-07-31,7.47,Buy to Cover
SH601225,2020-07-31,8.09,Buy to Cover
SH601288,2020-07-31,3.23,Buy to Cover
SH601298,2020-07-31,6.52,Buy to Cover
SH601398,2020-07-31,4.96,Buy to Cover
SH601555,2020-07-31,11.42,Short Sell
SH601600,2020-07-31,3.29,Short Sell
SH601618,2020-07-31,2.8,Sell to Close
SH601633,2020-07-31,13.35,Buy to Cover
SH601688,2020-07-31,20.79,Sell to Close
SH601788,2020-07-31,24.01,Buy to Open
SH601878,2020-07-31,16.52,Buy to Cover
SH601881,2020-07-31,13.07,Buy to Open
SH601901,2020-07-31,8.58,Short Sell
SH601919,2020-07-31,4.33,Sell to Close
SH601985,2020-07-31,4.34,Buy to Open
SH601988,2020-07-31,3.33,Buy to Cover
SH601989,2020-07-31,4.79,Buy to Cover
SH603260,2020-07-31,31.5,Short Sell
SH603501,2020-07-31,205.64,Sell to Close
SH603658,2020-07-31,162.72,Buy to Open
SH603799,2020-07-31,42.76,Short Sell
SH603899,2020-07-31,65.37,Sell to Close
SH603993,2020-07-31,4.4,Short Sell
SZ000066,2020-07-31,18.3,Short Sell
SZ000596,2020-07-31,212.9,Short Sell
SZ000625,2020-07-31,11.07,Buy to Open
SZ000708,2020-07-31,19.44,Buy to Cover
SZ000723,2020-07-31,6.6,Short Sell
SZ000725,2020-07-31,4.67,Buy to Open
SZ000728,2020-07-31,10.41,Buy to Open
SZ000783,2020-07-31,8.64,Buy to Cover
SZ000783,2020-07-31,8.64,Buy to Open
SZ000876,2020-07-31,32.52,Short Sell
SZ002024,2020-07-31,10.31,Sell to Close
SZ002027,2020-07-31,6.06,Buy to Cover
SZ002044,2020-07-31,15.39,Sell to Close
SZ002153,2020-07-31,36.75,Buy to Open
SZ002236,2020-07-31,21.29,Short Sell
SZ002304,2020-07-31,135.05,Sell to Close
SZ002352,2020-07-31,70.92,Sell to Close
SZ002456,2020-07-31,19.45,Buy to Open
SZ002466,2020-07-31,25.3,Sell to Close
SZ002714,2020-07-31,91.48,Sell to Close
SZ002841,2020-07-31,103.91,Buy to Open
SZ002958,2020-07-31,5.63,Buy to Open
SZ003816,2020-07-31,3.05,Buy to Open
SZ300003,2020-07-31,42.88,Sell to Close
SZ300015,2020-07-31,45.3,Sell to Close
SZ300033,2020-07-31,143.09,Buy to Open
SZ300122,2020-07-31,186.0,Buy to Cover
SZ300124,2020-07-31,50.26,Sell to Close
SZ300136,2020-07-31,55.31,Buy to Open
SZ300347,2020-07-31,107.7,Sell to Close
SZ300408,2020-07-31,28.62,Sell to Close
SZ300413,2020-07-31,68.08,Buy to Open
SH600018,2020-08-06,4.53,Buy to Open
SH600066,2020-08-06,15.36,Buy to Cover
SH600085,2020-08-06,29.18,Buy to Open
SH600089,2020-08-06,8.76,Buy to Cover
SH600109,2020-08-06,15.18,Short Sell
SH600111,2020-08-06,14.08,Short Sell
SH600170,2020-08-06,3.13,Buy to Open
SH600176,2020-08-06,13.62,Buy to Cover
SH600183,2020-08-06,28.22,Buy to Open
SH600196,2020-08-06,75.6,Buy to Cover
SH600219,2020-08-06,2.51,Buy to Open
SH600276,2020-08-06,91.0,Sell to Close
SH600297,2020-08-06,4.35,Sell to Close
SH600309,2020-08-06,69.7,Buy to Cover
SH600362,2020-08-06,17.08,Short Sell
SH600398,2020-08-06,6.2,Buy to Open
SH600438,2020-08-06,24.93,Buy to Cover
SH600489,2020-08-06,11.92,Short Sell
SH600570,2020-08-06,110.16,Sell to Close
SH600588,2020-08-06,46.42,Sell to Close
SH600606,2020-08-06,7.78,Buy to Cover
SH600637,2020-08-06,10.46,Buy to Open
SH600655,2020-08-06,10.23,Short Sell
SH600674,2020-08-06,9.66,Buy to Open
SH600760,2020-08-06,71.23,Buy to Cover
